,method,path,body,single_q,double_q,dashes,braces,spaces,badWords,type,prediction_label,prediction_score
0,GET,"/?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",,1,3,0,2,0,0,0,0,0.99
1,POST,/contact,address=3137%20Laguna%20Street&firstName=hdexrylf&lastName=fpjltfay&message=20&subject=na,0,0,0,0,2,0,0,0,0.9016
2,POST,/contact,address=3137%20Laguna%20Street&firstName=yriykktp&lastName=dhhxxpew&message=20&subject=suggestions,0,0,0,0,2,0,0,0,0.9016
3,POST,/contact,address=3137%20Laguna%20Street&firstName=ebvgdlfd&lastName=kdxfxjfg&message=20&subject=service,0,0,0,0,2,0,0,0,0.9016
4,POST,/contact,address=3137%20Laguna%20Street&firstName=exndlqer&lastName=lccofase&message=20&subject=product,0,0,0,0,2,0,0,0,0.9016
5,POST,"/contact?wvstest=javascript:domxssExecutionSink(1,%22'%5C%22%3E%3Cxsstag%3E()locxss%22)",address=3137%20Laguna%20Street&firstName=exndlqer&lastName=lccofase&message=20&subject=product,1,3,0,2,2,0,0,0,0.96
6,POST,/forgotpw,"1'""",1,1,0,0,0,0,0,0,1.0
7,POST,/login,password=1'%22&username=admin,1,1,0,0,0,0,0,0,1.0
8,POST,/contact,address=1'%22&firstName=kklotbxs&lastName=kklotbxs&message=20&subject=na,1,1,0,0,0,0,0,0,1.0
9,GET,/1'%22,,1,1,0,0,0,0,0,0,1.0
10,POST,/forgotpw,<forgot><username>e</username></forgot>' AND 2*3*8=6*8 AND 'Zai5'='Zai5,4,0,0,0,4,0,0,0,1.0
11,POST,/login,password=-1%20OR%202%2b433-433-1%3d0%2b0%2b0%2b1%20--%20&username=admin,0,0,1,0,4,0,0,0,1.0
12,POST,/contact,address=-1%20OR%202%2b937-937-1%3d0%2b0%2b0%2b1%20--%20&firstName=pbwerxmf&lastName=pbwerxmf&message=20&subject=na,0,0,1,0,4,0,0,0,1.0
